# AveragePeopleAtBusStops,AverageWaitTime
3.825000,21.869676
3.775000,21.971308
3.825000,22.257572
3.850000,22.539923
3.900000,22.703884
3.975000,22.902283
3.950000,22.441705
3.925000,22.548125
3.875000,21.848641
3.875000,21.648783
3.850000,21.514108
3.850000,21.691495
3.800000,21.796252
3.825000,22.016644
3.875000,22.284272
3.900000,22.544144
3.900000,22.712390
3.925000,22.956917
3.950000,23.183123
3.950000,22.672589
3.950000,22.513353
3.975000,22.471623
3.975000,22.442337
3.975000,22.322352
4.075000,22.323921
4.025000,22.001666
4.000000,21.572268
4.025000,21.818701
3.975000,21.921446
4.000000,22.099133
4.050000,22.404708
4.050000,22.604715
4.125000,22.920469
4.125000,23.094149
4.175000,23.348174
4.200000,23.600797
4.225000,23.785715
4.275000,24.065043
4.300000,24.243442
4.375000,24.454648
4.450000,24.670505
4.525000,24.936715
4.450000,25.039877
4.400000,25.284315
4.400000,25.532256
4.425000,25.816561
4.450000,26.102440
4.375000,25.646605
4.350000,25.735434
4.375000,25.875640
4.425000,26.067290
4.425000,25.781778
4.400000,25.941761
4.425000,26.154802
4.525000,26.312391
4.575000,26.600360
4.575000,26.756976
4.650000,27.179391
4.575000,26.029592
4.550000,25.782683
4.500000,25.700468
4.550000,25.774017
4.525000,25.859183
4.550000,25.934327
4.550000,26.039664
4.525000,26.053613
4.525000,25.733512
4.500000,25.919597
4.350000,25.232352
4.175000,24.726323
4.175000,24.706524
4.225000,24.967707
4.200000,25.037667
4.250000,25.325747
4.175000,25.429957
4.175000,25.762362
4.200000,25.944085
4.275000,26.169927
4.300000,26.408681
4.325000,26.636848
4.350000,26.810630
4.350000,26.969970
4.400000,27.222794
4.425000,27.431834
4.475000,27.545140
4.550000,27.782536
4.550000,28.038523
4.600000,28.323692
4.600000,28.608862
4.600000,28.866991
4.550000,28.606745
4.525000,28.513699
4.575000,29.056201
4.600000,29.208834
4.675000,29.350728
4.725000,29.641310
4.725000,29.804129
4.775000,30.052813
4.800000,30.214888
4.850000,30.466477
4.850000,30.572527
4.950000,30.797944
5.000000,31.099511
5.000000,31.290656
5.100000,31.462982
5.150000,31.711694
5.175000,32.010425
5.175000,32.401897
5.125000,31.961309
5.200000,31.949132
5.175000,31.978518
5.075000,31.198763
5.050000,31.003666
5.025000,31.107400
5.025000,31.404628
5.050000,31.756152
5.050000,32.045200
5.025000,31.449117
5.000000,31.330331
5.000000,31.410647
5.025000,31.754974
5.050000,32.138137
5.050000,32.479855
5.100000,32.630398
5.200000,32.865645
5.275000,32.903051
5.300000,32.895542
5.250000,33.073281
5.225000,33.695953
5.125000,33.138691
5.125000,33.041770
5.200000,33.135575
5.225000,33.634128
5.175000,32.637741
5.125000,32.411985
5.125000,32.468684
5.125000,32.412346
5.125000,32.198980
5.175000,32.086385
5.200000,31.971250
5.200000,31.928516
5.200000,31.862794
5.200000,31.641789
5.250000,31.895486
5.225000,31.551068
5.225000,31.727063
5.250000,32.161866
5.250000,31.517447
5.225000,31.408544
5.200000,31.203221
5.175000,30.911049
5.200000,31.021090
5.175000,30.971211
5.200000,31.135841
5.225000,31.229411
5.275000,31.403330
5.325000,31.716237
5.325000,31.999190
5.350000,32.174992
5.325000,32.001247
5.325000,32.111728
5.375000,32.477016
5.375000,32.817874
5.425000,33.150435
5.400000,33.567212
5.425000,33.856540
5.475000,34.079774
5.500000,34.401880
5.425000,34.223774
5.475000,34.598866
5.425000,34.754812
5.450000,34.843262
5.550000,35.165163
5.550000,35.487066
5.475000,35.313520
5.450000,35.483058
5.425000,35.658689
5.525000,35.998279
5.575000,36.370565
5.575000,36.558187
5.650000,36.848771
5.675000,36.938833
5.775000,37.232888
5.800000,37.373431
5.925000,37.564707
5.975000,37.854169
6.000000,38.064923
6.075000,38.260630
6.050000,38.371882
6.000000,38.367580
5.925000,37.696184
5.925000,37.638497
5.925000,37.701843
5.900000,37.870352
5.850000,38.085415
5.825000,38.238013
5.875000,38.563622
5.875000,38.645621
5.900000,38.820781
5.925000,39.198468
5.950000,39.681082
5.925000,39.400576
5.850000,38.596184
5.725000,37.043380
5.625000,36.022021
5.550000,35.358004
5.450000,34.841679
5.325000,33.771051
5.275000,33.514876
5.175000,32.831181
5.225000,33.253786
5.175000,33.204799
