# Step,AveragePeopleAtBusStops,AverageWaitTime
503.000000,21.625000,113.688811
504.000000,21.875000,113.902439
505.000000,22.000000,114.515679
506.000000,22.000000,114.729167
507.000000,21.750000,113.529412
508.000000,21.625000,113.131034
509.000000,21.500000,112.064846
510.000000,21.500000,112.491468
511.000000,21.250000,112.986348
512.000000,21.250000,113.569966
513.000000,21.250000,114.153584
514.000000,21.250000,114.346939
515.000000,21.375000,114.542373
516.000000,21.375000,114.736486
517.000000,21.375000,114.932660
518.000000,21.500000,114.739130
519.000000,21.750000,115.327759
520.000000,21.750000,115.916388
521.000000,21.750000,116.505017
522.000000,21.750000,116.703333
523.000000,21.750000,117.290000
524.000000,21.750000,117.096026
525.000000,21.750000,117.293729
526.000000,21.875000,117.493421
527.000000,22.000000,118.082237
528.000000,22.000000,118.281967
529.000000,22.000000,118.872131
530.000000,22.000000,119.071895
531.000000,22.125000,119.663399
532.000000,22.125000,120.254902
533.000000,22.125000,120.452769
534.000000,22.250000,120.262136
535.000000,22.375000,122.039216
536.000000,22.125000,118.882736
537.000000,22.375000,117.693811
538.000000,22.500000,116.609121
539.000000,22.500000,115.214286
540.000000,22.500000,114.609121
541.000000,22.375000,112.928803
542.000000,22.625000,112.386364
543.000000,22.500000,111.564935
544.000000,22.375000,111.136808
545.000000,22.250000,110.348534
546.000000,22.250000,110.210356
547.000000,22.375000,110.789644
548.000000,22.375000,111.368932
549.000000,22.375000,113.045752
550.000000,22.125000,110.530945
551.000000,22.125000,109.811075
552.000000,22.125000,108.762987
553.000000,22.250000,108.469055
554.000000,22.125000,107.165049
555.000000,22.375000,107.744337
556.000000,22.375000,107.974194
557.000000,22.500000,109.615635
558.000000,22.250000,109.516234
559.000000,22.250000,109.961039
560.000000,22.250000,110.405844
561.000000,22.250000,111.231270
562.000000,22.125000,112.058824
563.000000,22.000000,112.934426
564.000000,21.875000,113.851974
565.000000,21.875000,114.805281
566.000000,22.000000,115.006579
567.000000,22.375000,115.595395
568.000000,22.375000,116.184211
569.000000,22.375000,116.390164
570.000000,22.500000,116.598039
571.000000,22.625000,116.807818
572.000000,22.750000,117.400651
573.000000,22.750000,117.610390
574.000000,22.875000,117.822006
575.000000,22.875000,118.032258
576.000000,22.625000,117.083871
577.000000,22.375000,116.385852
578.000000,22.250000,115.759615
579.000000,22.000000,115.596154
580.000000,22.000000,116.916129
581.000000,21.750000,117.610390
582.000000,21.625000,116.294118
583.000000,21.250000,115.009804
584.000000,21.250000,115.036184
585.000000,21.000000,114.227723
586.000000,20.875000,114.382060
587.000000,20.625000,113.355482
588.000000,20.500000,113.136667
589.000000,20.375000,113.550000
590.000000,20.375000,113.347682
591.000000,20.500000,113.890728
592.000000,20.500000,114.069307
593.000000,20.625000,113.875410
594.000000,20.875000,114.436066
595.000000,20.875000,114.620915
596.000000,21.000000,115.183007
