# Step,PedestrianCount,AveragePeopleAtBusStops,AverageWaitTime
225.000000,129.000000,9.750000,66.333333
226.000000,130.000000,9.750000,66.423077
227.000000,130.000000,9.875000,67.030769
228.000000,130.000000,9.875000,67.638462
229.000000,130.000000,9.875000,68.246154
230.000000,131.000000,9.875000,68.328244
231.000000,131.000000,10.000000,68.938931
232.000000,131.000000,10.000000,69.549618
233.000000,131.000000,10.000000,70.160305
234.000000,133.000000,10.000000,69.706767
235.000000,133.000000,10.125000,70.315789
236.000000,134.000000,10.125000,70.395522
237.000000,134.000000,10.250000,71.007463
238.000000,134.000000,10.250000,71.619403
239.000000,135.000000,10.250000,71.696296
240.000000,135.000000,10.375000,72.311111
241.000000,135.000000,10.375000,72.925926
242.000000,137.000000,10.375000,72.467153
243.000000,137.000000,10.500000,73.080292
244.000000,138.000000,10.625000,73.166667
245.000000,138.000000,10.750000,73.789855
246.000000,139.000000,10.750000,73.877698
247.000000,139.000000,10.875000,74.503597
248.000000,139.000000,10.875000,75.129496
249.000000,140.000000,10.875000,75.214286
250.000000,140.000000,11.000000,75.842857
251.000000,140.000000,11.000000,76.471429
252.000000,141.000000,11.000000,76.553191
253.000000,141.000000,11.000000,77.177305
254.000000,143.000000,11.000000,76.713287
255.000000,144.000000,11.250000,76.805556
256.000000,145.000000,11.375000,76.903448
257.000000,146.000000,11.500000,77.006849
258.000000,147.000000,11.625000,77.115646
259.000000,147.000000,11.750000,77.755102
260.000000,147.000000,11.750000,78.394558
261.000000,148.000000,11.750000,78.500000
262.000000,148.000000,11.875000,79.141892
263.000000,148.000000,11.875000,79.783784
264.000000,148.000000,11.875000,80.425676
265.000000,148.000000,11.875000,81.067568
266.000000,150.000000,11.875000,80.620000
267.000000,152.000000,12.125000,80.197368
268.000000,153.000000,12.250000,80.313725
269.000000,153.000000,12.375000,80.960784
270.000000,153.000000,12.375000,81.607843
271.000000,153.000000,12.375000,82.254902
272.000000,154.000000,12.375000,82.363636
273.000000,154.000000,12.500000,83.012987
274.000000,154.000000,12.500000,83.662338
275.000000,154.000000,12.500000,84.311688
276.000000,154.000000,12.500000,84.961039
277.000000,154.000000,12.500000,85.610390
278.000000,155.000000,12.500000,85.703226
279.000000,155.000000,12.625000,86.354839
280.000000,155.000000,12.625000,87.006452
