Waiting Times,Average People at Busstops
45.895999908447266,7.0
46.4900016784668,7.125
47.08300018310547,7.125
47.18600082397461,7.125
47.29600143432617,7.25
47.89799880981445,7.375
48.0099983215332,7.375
48.130001068115234,7.5
48.7400016784668,7.625
49.349998474121094,7.625
49.959999084472656,7.625
49.577999114990234,7.625
50.19599914550781,7.875
51.0890007019043,7.625
51.18600082397461,7.625
51.79399871826172,7.75
52.402000427246094,7.75
53.0099983215332,7.75
53.61800003051758,7.75
53.69900131225586,7.75
53.77899932861328,7.75
53.867000579833984,7.875
54.47600173950195,8.0
54.566001892089844,8.0
55.17900085449219,8.125
46.22200012207031,7.375
42.82400131225586,7.125
39.53200149536133,6.625
37.76100158691406,6.25
37.7760009765625,6.0
37.45800018310547,5.75
36.88999938964844,5.625
37.10100173950195,5.875
37.814998626708984,5.875
37.89899826049805,5.875
38.3390007019043,6.0
38.59600067138672,5.75
39.018001556396484,5.75
39.082000732421875,5.75
39.50899887084961,5.875
39.222999572753906,5.875
39.310001373291016,6.125
39.75199890136719,6.25
40.19499969482422,6.25
40.28099822998047,6.25
40.72800064086914,6.375
41.17499923706055,6.375
41.12200164794922,6.25
41.57400131225586,6.5
41.66400146484375,6.5
41.75199890136719,6.5
41.49599838256836,6.625
41.608001708984375,6.875
42.07500076293945,7.0
42.483001708984375,6.875
42.94200134277344,6.875
43.400001525878906,6.875
43.49599838256836,6.875
43.95899963378906,7.0
44.05699920654297,7.0
44.16299819946289,7.125
44.63399887084961,7.25
44.742000579833984,7.25
45.21799850463867,7.375
45.694000244140625,7.375
45.79999923706055,7.375
45.91299819946289,7.5
46.39699935913086,7.625
46.512001037597656,7.625
47.0,7.75
47.487998962402344,7.75
47.97600173950195,7.75
48.2599983215332,7.5
48.7400016784668,7.625
49.220001220703125,7.625
49.57500076293945,7.5
49.270999908447266,7.5
49.75199890136719,7.75
49.84600067138672,7.75
50.33100128173828,7.875
50.814998626708984,7.875
50.90800094604492,7.875
51.39699935913086,8.0
51.8849983215332,8.0
51.58599853515625,8.0
52.07500076293945,8.125
52.17900085449219,8.25
52.67900085449219,8.375
52.78499984741211,8.375
53.28900146484375,8.5
53.792999267578125,8.5
53.89699935913086,8.5
54.40399932861328,8.625
54.9119987487793,8.625
55.01499938964844,8.625
55.5260009765625,8.75
55.4640007019043,8.5
55.9640007019043,8.625
56.064998626708984,8.75
56.17100143432617,8.875
56.284000396728516,9.0
56.80099868774414,9.125
57.319000244140625,9.125
57.43000030517578,9.125
57.95100021362305,9.25
58.47200012207031,9.25
58.99300003051758,9.25
59.513999938964844,9.25
59.20100021362305,9.25
53.7400016784668,9.125
51.305999755859375,9.125
50.83000183105469,9.0
52.02799987792969,9.0
53.25899887084961,9.0
54.14099884033203,9.0
53.94200134277344,9.0
50.834999084472656,8.75
52.0880012512207,8.75
49.13100051879883,8.5
49.9119987487793,8.375
50.0359992980957,8.375
50.53300094604492,8.5
51.02899932861328,8.5
51.5260009765625,8.5
51.64500045776367,8.5
52.14500045776367,8.625
51.893001556396484,8.625
51.6619987487793,8.875
51.81100082397461,9.125
52.32899856567383,9.25
53.21799850463867,9.25
53.73899841308594,9.25
53.88100051879883,9.25
54.02799987792969,9.375
54.17900085449219,9.5
54.33599853515625,9.625
54.869998931884766,9.75
55.027000427246094,9.75
55.564998626708984,9.875
55.722999572753906,9.875
56.263999938964844,10.0
52.887001037597656,9.625
51.68199920654297,9.625
50.75699996948242,9.5
50.137001037597656,9.375
49.75299835205078,9.25
49.652000427246094,9.125
50.45500183105469,9.25
49.96200180053711,9.25
50.45199966430664,9.625
50.619998931884766,9.625
50.474998474121094,9.75
50.974998474121094,10.0
51.154998779296875,10.0
51.58399963378906,10.0
52.09299850463867,10.25
52.60900115966797,10.375
53.124000549316406,10.375
53.308998107910156,10.375
54.45000076293945,10.375
54.96900177001953,10.375
55.143001556396484,10.375
55.665000915527344,10.375
55.159000396728516,10.375
55.012001037597656,10.5
55.54199981689453,10.625
56.071998596191406,10.625
56.60200119018555,10.625
57.132999420166016,10.625
57.66299819946289,10.625
58.19300079345703,10.625
58.722999572753906,10.625
59.25299835205078,10.625
59.42499923706055,10.625
59.60100173950195,10.75
59.082000732421875,10.875
59.625999450683594,11.0
59.4739990234375,11.0
60.02299880981445,11.25
60.571998596191406,11.25
61.132999420166016,11.375
60.98899841308594,11.375
61.55400085449219,11.5
61.766998291015625,11.5
61.983001708984375,11.5
62.55400085449219,11.625
63.43199920654297,11.5
63.64400100708008,11.5
63.86000061035156,11.625
64.43800354003906,11.625
65.01699829101562,11.625
64.50800323486328,11.625
64.73600006103516,11.875
61.8849983215332,11.5
60.41299819946289,11.375
59.03200149536133,11.25
59.20100021362305,11.25
58.46200180053711,11.125
58.46200180053711,11.375
58.854000091552734,11.375
59.332000732421875,11.25
59.803001403808594,11.125
59.69599914550781,11.0
60.262001037597656,11.125
61.516998291015625,11.0
58.117000579833984,10.75
56.39699935913086,10.5
55.25299835205078,10.5
54.44300079345703,10.125
53.827999114990234,10.0
52.959999084472656,9.875
52.16899871826172,9.75
51.391998291015625,9.625
49.45399856567383,9.5
49.178001403808594,9.875
48.85200119018555,9.75
49.35200119018555,10.0
49.858001708984375,10.125
50.36399841308594,10.125
50.582000732421875,10.125
